STT	Phương thức HTTP	Đường dẫn API
1	GET	/api/v1/services
2	GET	/api/v1/services/:id
3	POST	/api/v1/services
4	PUT	/api/v1/services/:id
5	DELETE	/api/v1/services/:id
6	GET	/api/v1/serviceBookings
7	GET	/api/v1/serviceBookings/:id
8	POST	/api/v1/serviceBookings
9	PUT	/api/v1/serviceBookings/:id
10	DELETE	/api/v1/serviceBookings/:id

