STT	Phương thức HTTP	Đường dẫn API
1	GET	/api/v1/conversations
2	GET	/api/v1/conversations/:id
3	GET	/api/v1/conversations/:conversationId/messages
4	POST	/api/v1/messages
5	POST	/api/v1/conversations/start
6	DELETE	/api/v1/messages/:id
7	POST	/api/v1/conversations/:conversationId/read
8	GET	/api/v1/messages/unread-count
9	POST	/api/v1/chat/token
10	POST	/api/v1/chat/open
11	POST	/api/v1/chat/staff

