STT	Phương thức HTTP	Đường dẫn API
1	GET	/api/v1/rooms
2	GET	/api/v1/rooms/available
3	GET	/api/v1/rooms/:id
4	POST	/api/v1/rooms
5	PUT	/api/v1/rooms/:id
6	DELETE	/api/v1/rooms/:id
7	GET	/api/v1/roomTypes
8	GET	/api/v1/roomTypes/:id
9	POST	/api/v1/roomTypes
10	PUT	/api/v1/roomTypes/:id
11	DELETE	/api/v1/roomTypes/:id

